nodes,corespernode,partitions,time
3,32,64,159.99
2,32,32,275.62
3,32,64,139.64
2,16,16,477.43
3,32,64,123.55
2,32,32,237.3
3,32,64,125.62
5,32,128,83.84
2,32,32,198.75
2,8,8,756.14
5,32,128,68.67
3,32,64,126.57
5,32,128,59.33
5,32,128,71.6
2,16,16,373.34
2,32,32,200.73
5,32,128,72.94
2,4,4,1262.24
9,32,256,59.48
9,32,256,45.07
9,32,256,49.46
2,32,32,212.31
9,32,256,47.63
9,32,256,45.89
2,16,16,380.6
2,8,8,652.58
2,16,16,352.58
2,16,16,409.05
2,8,8,704.26
2,4,4,1247.82
2,2,2,2750.84
2,8,8,718.03
2,8,8,958.89
2,4,4,1659.68
2,1,1,5276.5
2,1,1,5214.98
2,4,4,1524.04
2,2,2,3116.33
2,4,4,1737.81
2,2,2,3276.81
2,1,1,5707.72
2,1,1,5812.24
2,2,2,3105.71
2,2,2,3141.05
2,1,1,6046.29
2,1,1,6016.06
